
Predictions(GD) 	 Predictions(C) 	 True Value
3.22196			 3.20226			 3.02889
2.71679			 2.5166			 2.57753
2.418			 2.55477			 2.48623
2.37336			 1.93713			 2.06914
3.03919			 3.03404			 3.10531
2.78599			 2.79714			 2.8928
2.7227			 3.01394			 2.88821
2.71594			 2.69982			 2.59491
2.36854			 2.32356			 2.3079
2.73946			 2.94008			 2.84291
2.7259			 2.58037			 2.41507
2.42474			 2.30285			 2.24937
3.07317			 3.31768			 3.18137
2.64342			 3.00909			 3.02497
3.5551			 4.00431			 3.98411
3.29767			 3.54888			 3.50975
2.16392			 1.96963			 1.95714
2.46673			 2.51423			 2.42637
2.75718			 2.86688			 2.96222
2.69487			 2.77091			 2.79753
2.21042			 2.29294			 2.43388
2.72593			 2.82521			 2.87491
3.11964			 3.36301			 3.42195
2.31762			 2.1646			 2.15851
2.97428			 3.01933			 2.87459
2.8827			 2.91371			 2.89882
2.89426			 3.20601			 3.27291
2.63065			 2.58592			 2.52511
3.20541			 3.77646			 3.74321
3.02743			 3.25995			 3.21754
2.75155			 2.50287			 2.49291
2.18853			 1.92285			 1.94261
3.36266			 3.81212			 3.96165
2.88387			 3.06822			 3.1597
2.46246			 2.26405			 2.27449
2.31042			 1.82836			 1.96077
1.98601			 1.35689			 1.1978
2.77505			 2.82182			 3.00176
2.62788			 2.415			 2.60235
2.51071			 2.58448			 2.58489
2.49918			 2.38024			 2.21532
2.43761			 2.20977			 2.11715
2.31417			 2.08743			 2.2055
2.8088			 3.04051			 2.96091
2.87929			 3.00929			 3.04235
2.74393			 2.90284			 3.05216
2.80994			 3.02853			 3.12184
2.74513			 2.83347			 2.79974
3.03161			 3.02468			 3.07236
2.37717			 2.10276			 1.90507
2.41121			 1.92567			 1.98033
3.24894			 3.53027			 3.63931
2.65039			 2.82289			 2.71432
2.13384			 1.73696			 1.67607
3.00891			 3.31994			 3.18002
2.64898			 2.82876			 3.00572
3.42986			 3.75037			 3.76218
2.70764			 2.69336			 2.70267
3.54829			 3.96992			 3.83695
2.15502			 1.55359			 1.59129
2.58331			 2.70075			 2.71813
2.98396			 3.09557			 3.03712
2.62425			 2.67903			 2.60721
2.92823			 3.28165			 3.53207
2.77532			 3.17348			 3.18993
3.28612			 3.36786			 3.39444
3.1709			 3.44945			 3.45978
2.5432			 2.37809			 2.34395
2.30541			 2.21734			 2.32384
2.35695			 1.87322			 1.85361
3.09107			 3.40821			 3.36265
2.45961			 2.09917			 2.20531
2.76667			 2.8885			 2.93697
2.6099			 2.69258			 2.62944
2.39859			 1.82937			 1.77228
3.01538			 3.07177			 2.99758
2.33858			 2.09565			 2.18938
2.51229			 2.37045			 2.4367
2.47234			 2.31955			 2.54809
2.28526			 2.15025			 2.22877
2.85649			 2.552			 2.53058
2.53853			 2.31863			 2.42897
3.07396			 2.90352			 2.94784
2.69217			 2.5366			 2.66246
2.66503			 2.68286			 2.66868
3.07162			 3.00443			 3.01582
2.94926			 3.14099			 3.08291
3.15584			 3.31656			 3.34973
2.91335			 2.85129			 2.59457
3.02311			 3.44628			 3.53906
2.26629			 1.86738			 1.83653
2.68544			 2.43068			 2.46373
2.74921			 2.86407			 2.93873
